time,ax,ay,az,wx,wy,wz
0.716,0.03,-0.01,-0.04,0,0,-0.01
0.717,0.03,-0.01,-0.04,0,0,-0.01
0.718,0.03,-0.01,-0.04,0,-0.01,0
0.721,0.03,-0.01,-0.04,0,-0.01,0
0.722,0.04,-0.01,-0.04,0,-0.01,0
0.724,0.04,-0.01,-0.04,0,-0.01,0
0.725,0.02,-0.02,-0.03,0,-0.01,0
0.726,0.02,-0.02,-0.03,0,-0.01,0
0.729,0.02,-0.02,-0.03,0,-0.01,0
0.731,0.02,-0.01,-0.05,0,-0.01,0
0.731,0.02,-0.01,-0.05,0,-0.01,0
0.733,0.02,-0.01,-0.05,0,-0.01,0
0.754,0.01,-0.02,-0.04,0,-0.01,0
0.754,0.01,-0.02,-0.04,0,-0.01,0
0.754,0.01,-0.02,-0.04,0,-0.01,-0.01
0.755,0.01,0,-0.05,0,-0.01,-0.01
0.755,0.01,0,-0.05,0,-0.01,0
0.755,0.01,0,-0.05,0,-0.01,0
0.755,-0.01,0,-0.02,0,-0.01,0
0.756,-0.01,0,-0.02,0,-0.01,0
0.756,-0.01,0,-0.02,0,-0.01,0
0.756,-0.01,-0.02,-0.01,0,-0.01,0
0.756,-0.01,-0.02,-0.01,0,-0.01,-0.01
0.757,-0.01,-0.02,-0.01,0,-0.01,-0.01
0.757,0.01,-0.01,-0.02,0,-0.01,-0.01
0.757,0.01,-0.01,-0.02,0,-0.01,-0.01
0.757,0.01,-0.01,-0.02,0,-0.01,-0.01
0.76,0.01,-0.01,0,0,-0.01,-0.01
0.761,0.01,-0.01,0,0,-0.01,-0.01
0.762,0.01,-0.01,0,0,-0.01,-0.01
0.765,0.01,-0.01,0,0,-0.01,-0.01
0.765,0.01,-0.02,0,0,-0.01,-0.01
0.769,0.01,-0.02,0,0,-0.01,-0.01
0.771,0.03,0,0.01,0,-0.01,-0.01
0.772,0.03,0,0.01,0,-0.01,-0.01
0.774,0.03,0,0.01,0,-0.01,-0.01
0.775,0.02,0.01,0.03,0,-0.01,-0.01
0.775,0.02,0.01,0.03,0,-0.01,-0.01
0.778,0.02,0.01,0.03,0,0,-0.01
0.78,0.03,0,0.03,0,0,-0.01
0.781,0.03,0,0.03,0,-0.01,-0.01
0.782,0.03,0,0.03,0,-0.01,-0.01
0.785,0.03,0,0.03,0,-0.01,-0.01
0.785,0.02,-0.02,0.03,0,-0.01,-0.01
0.787,0.02,-0.02,0.03,0,-0.01,-0.01
0.789,0.02,-0.02,0.02,0,-0.01,-0.01
0.789,0.02,-0.02,0.02,0,0,-0.01
0.797,0.02,-0.02,0.02,0,0,-0.01
0.797,0.02,-0.02,0.02,0.01,-0.01,-0.01
0.798,0.03,-0.02,0.03,0.01,-0.01,-0.01
0.798,0.03,-0.02,0.03,0,-0.01,-0.01
0.8,0.04,0,0.03,0,-0.01,-0.01
0.801,0.04,0,0.03,0,-0.01,-0.01
0.802,0.04,0,0.03,0,-0.01,-0.01
0.804,0.04,0,0.03,0,-0.01,-0.01
0.804,0.05,0,0.02,0,-0.01,-0.01
0.806,0.05,0,0.02,0,-0.01,-0.01
0.809,0.05,0,0.02,0,0,-0.01
0.809,0.04,-0.01,0.02,0,0,-0.01
0.812,0.04,-0.01,0.02,0,0,-0.01
0.813,0.04,0.01,0.03,0,0,-0.01
0.814,0.04,0.01,0.03,0.01,-0.01,-0.01
0.817,0.04,0.01,0.03,0,0,-0.01
0.819,0.04,0.01,0.03,0,0,-0.01
0.819,0.03,0.01,0.04,0,0,-0.01
0.821,0.03,0.01,0.04,0,0,-0.01
0.823,0.05,0.01,0.04,0,0,-0.01
0.824,0.05,0.01,0.04,0,0,-0.01
0.827,0.05,0.01,0.04,0,0,-0.01
0.829,0.05,0.01,0.04,0,0,-0.01
0.829,0.04,0.03,0.03,0,0,-0.01
0.831,0.04,0.03,0.03,0,0,-0.01
0.834,0.05,0.03,0.02,0,0,-0.01
0.834,0.05,0.03,0.02,0,0,-0.01
0.836,0.05,0.03,0.02,0,0,-0.01
0.839,0.04,0.03,0.01,0,0,-0.01
0.839,0.04,0.03,0.01,0,0,-0.01
0.84,0.04,0.03,0.01,0,0,-0.02
0.844,0.04,0.03,0.01,0,0,-0.01
